"BAG-1 KG","AMPOULE-1 ML"," PC","BAG-12M","","USD-US Dollar","15 DAYS","","","","","","VERSION4","VESSEL:","MV NUR AWLIYA","","","DUE DATE:","07-10-20","","","","Excel Form Created by Danaos Supplies Application","","",""
"BAG-10 KG","AMPOULE-2 ML","AMPOULE","BAG-20M","","IDR-Indonesian Rupiah","30 DAYS","","","","","","","DEPARTMENT:","ENGINE STORES","","","ETA:","","","","COMPANY:","GURITA","","",""
"BAG-100 GR","BOTTLE-0.5 LTR","BAG","CENTIMETER","","SGD-Singapore Dollar","45 DAYS","","","","","","","QUOTATION:","NAw-RSE200028A","DELIVERY PORT:","MUARA BERAU","ETD:","","","","BUYER:","Yudra Ali","","",""
"BAG-12.5 KG","BOTTLE-0.7 LTR","BAG-20 PCS","COIL-100 MTR","","JPY-Japanese Yen","","","","","","","","Currency:","IDR-Indonesian Rupiah","Ref No:","","Valid Until:","","","","SUPPLIER:","Toko Anugerah Mas","","",""
"BAG-15 KG","BOTTLE-0.75 LTR","BALL","COIL-15 MTR","","EUR-Euro","","","","","","","","Payment Terms:","","","","Est. Delivery Date:","","","","","","","",""
"BAG-150 GR","BOTTLE-1 LTR","BAR","COIL-180 MTR","","HKD-Hongkong Dollar","","","","","","","","","","","","","","","","","","","",""
"BAG-16 KG","BOTTLE-1.44 LTR","BOTTLE","COIL-200 MTR","","MYR-Malaysian Ringgit","","","","","","","","ITEM CODE","ITEM DESCRIPTION","QUANTITY","ITEM UNIT","DISCOUNT","UNIT PRICE","TOTAL GROSS","TOTAL NET","AVAILABILITY IN DAYS","ITEM COMMENTS","","",""
"BAG-17 KG","BOTTLE-1.5 KG","BOWL","COIL-220 MTR","","ZBW-Zimbabwe","","","","","","","","","UNDEFINED CATALOGUE [*]","","","","","","","","","","",""
"BAG-2.5 KG","BOTTLE-1.5 LTR","BOX","COIL-300 MTR","","SEK-Sweden","","","","","","","","","UNDEFINED GROUP [*]","","","","","","","","","","",""
"BAG-20 KG","BOTTLE-1.65 LTR","BOX-1 PCS","COIL-4 MTR","","","","","","082007085801^3^","NAw-RSE200028A","S187","2","","METERAN PANJANG 10 M","2","PC","","","0.00","","","","PC","2.00",""
"BAG-20 LB","BOTTLE-10 ML","BOX-10 AMPOULES","COIL-6MTR","","","","","","082007085801^3^","NAw-RSE200028A","S187","1","","MUR & BAUT STAINLESS STEEL M24 X 70 MM","225","PC","","","0.00","","","","PC","225.00",""
"BAG-200 GR","BOTTLE-1000 ML","BOX-10 CAPSULES","FT","","","","","","","","","","","IMPA 4TH EDITION [IMPA-4TH]","","","","","","","","","","",""
"BAG-25 KG","BOTTLE-103 ML","BOX-10 PCS","HOSE-15 MTR","","","","","","","","","","","Clothing [19]","","","","","","","","","","",""
"BAG-25 LB","BOTTLE-130 ML","BOX-10 TABLETS","HOSE-18 MTR","","","","","","082007085801^3^","NAw-RSE200028A","S187","3","190101","GLOVES WORKING COTTON ORDINARY","10","DOZEN","","","0.00","","","","DOZEN","10.00",""
